id,dayNumber,durationMinutes,attenuationRiskValue,initialRiskLevel,totalRiskValue,api_level,android_version,brand,model,user_id,timestamp,contact_date
61,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/23/2020 0:00
63,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/23/2020 0:00
65,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/23/2020 0:00
67,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/23/2020 0:00
69,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/23/2020 0:00
71,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/23/2020 0:00
73,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/23/2020 0:00
75,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/23/2020 0:00
77,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/23/2020 0:00
79,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/23/2020 0:00
81,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/23/2020 0:00
83,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/23/2020 0:00
85,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/23/2020 0:00
87,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/23/2020 0:00
89,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:35,11/23/2020 0:00
91,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
93,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
95,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
97,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
99,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
101,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
103,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
105,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
107,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
109,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
111,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
113,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
115,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
117,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
119,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
121,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
123,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
125,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
127,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
129,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
131,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
133,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
135,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
137,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
139,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
141,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
143,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
145,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
147,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
149,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
151,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
153,18589,30,28,2,560,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/24/2020 6:36,11/23/2020 0:00
347,18589,30,28,2,490,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/25/2020 3:18,11/23/2020 0:00
353,18589,30,28,2,490,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/25/2020 3:18,11/23/2020 0:00
359,18589,30,28,2,490,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/25/2020 3:18,11/23/2020 0:00
365,18589,30,28,2,490,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/25/2020 3:19,11/23/2020 0:00
371,18589,30,28,2,490,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/25/2020 3:19,11/23/2020 0:00
377,18589,30,28,2,490,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/25/2020 3:19,11/23/2020 0:00
383,18589,30,28,2,490,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/25/2020 3:19,11/23/2020 0:00
389,18589,30,28,2,490,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/25/2020 3:19,11/23/2020 0:00
395,18589,30,28,2,490,29,10,HUAWEI,LIO-L29,4179b801a26f7905,11/25/2020 3:19,11/23/2020 0:00
